soc_code,occupation_title,Oral Comprehension,Written Comprehension,Oral Expression,Written Expression,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Mathematical Reasoning,Number Facility,Memorization,Speed of Closure,Flexibility of Closure,Perceptual Speed,Spatial Orientation,Visualization,Selective Attention,Time Sharing
17-3028,Calibration technologists and technicians,3.82,3.81,3.66,3.34,3.0,2.96,3.88,3.84,3.74,3.55,3.32,3.14,2.95,2.57,2.78,3.14,3.1,1.68,3.26,3.25,2.73
29-2031,Cardiovascular technologists and technicians,4.0,3.5,4.0,3.5,2.88,2.5,4.12,3.62,3.62,3.5,3.0,2.62,2.5,2.62,3.0,3.25,3.38,1.0,2.75,3.12,3.0
47-2031,Carpenters,3.37,3.0,3.25,2.56,2.88,2.88,3.56,3.18,3.12,3.18,3.06,2.75,2.82,2.18,2.38,2.88,2.88,2.62,3.5,3.0,2.5
17-1021,Cartographers and photogrammetrists,3.88,4.0,3.5,3.5,3.0,3.0,3.12,3.5,3.62,3.25,3.12,3.0,2.88,2.5,2.75,3.38,3.0,1.38,3.25,3.0,2.62
41-2011,Cashiers,3.62,3.12,3.75,2.75,2.0,2.12,3.0,2.88,2.88,3.0,2.88,2.88,3.0,2.75,2.12,2.25,2.5,1.0,2.0,3.0,2.75
35-1011,Chefs and head cooks,4.0,3.12,4.0,3.12,3.25,3.12,4.0,3.75,3.38,3.5,3.12,3.12,3.12,2.62,2.25,2.88,3.0,1.0,2.88,3.0,3.0
17-2041,Chemical engineers,4.0,4.12,3.75,3.25,3.75,3.75,4.0,4.0,3.88,4.0,4.0,4.0,3.75,2.75,3.0,3.5,3.38,1.12,3.25,3.25,2.5
19-4031,Chemical technicians,3.88,3.88,3.38,3.62,3.0,3.0,3.5,3.75,3.75,3.88,3.5,3.0,2.88,2.75,2.75,3.25,2.88,1.12,2.88,3.0,2.5
19-2030,Chemists and materials scientists,4.0,4.06,3.94,3.82,3.18,3.19,3.94,4.0,3.94,3.68,3.62,3.56,3.31,2.69,2.5,3.25,3.0,1.06,3.19,3.12,2.68
39-9011,Childcare workers,3.94,3.25,3.88,3.0,3.12,3.0,3.81,3.44,3.25,3.0,3.0,1.81,1.94,2.68,2.56,2.94,2.5,1.62,2.82,3.0,3.0
29-1011,Chiropractors,4.0,4.0,4.0,3.88,3.0,2.88,4.0,4.0,4.0,3.75,3.12,2.5,2.25,2.75,2.88,3.12,2.88,1.0,2.88,3.0,2.75
